id,user_id,name,type,currency,is_active,created_at,updated_at
110675a7-0859-4951-9a93-a418f767c8d4,a05054eb-23a4-41ea-aaa7-6267f876cac5,Fanna Expense,family,MVR,true,2026-02-27 16:16:28.95933+00,2026-02-27 16:16:28.95933+00
260724ca-c26a-4e5b-b4f6-0ec497ad2dc5,e51c0357-0b88-410c-9af3-89a0183d42e9,Akirifushi,family,MVR,true,2026-02-27 21:40:36.540135+00,2026-02-27 21:40:36.540135+00
2b368e27-f88e-46fa-84b2-32a00c047d13,6c8ca696-9a65-4103-8059-6166086f27b1,Personal,personal,MVR,true,2026-02-27 10:13:20.698024+00,2026-02-27 10:13:20.698024+00
411e54a6-c2db-42b6-a5bd-fe0bb6038dab,a05054eb-23a4-41ea-aaa7-6267f876cac5,Haleema Expense,family,MVR,true,2026-02-27 16:16:41.501558+00,2026-02-27 16:16:41.501558+00
4c276124-ba30-4bfb-aed2-4db99e9563bd,a05054eb-23a4-41ea-aaa7-6267f876cac5,Personal,personal,MVR,true,2026-02-27 10:13:34.160798+00,2026-02-27 10:13:34.160798+00
5ae43916-9d10-49aa-bbe6-718ede476e8a,e51c0357-0b88-410c-9af3-89a0183d42e9,Dhoadhi Fittings,family,MVR,true,2026-03-01 18:41:27.04266+00,2026-03-01 18:41:27.04266+00
5e4fc784-6ba6-4354-a19c-c294ba362179,e51c0357-0b88-410c-9af3-89a0183d42e9,Bandeyri koshi,family,MVR,true,2026-02-27 21:40:00.912538+00,2026-02-27 21:40:00.912538+00
65ede15e-f450-4a42-b1d9-1496c3359b24,a05054eb-23a4-41ea-aaa7-6267f876cac5,Home Expense,family,MVR,true,2026-02-27 16:15:34.433765+00,2026-02-27 16:15:34.433765+00
69d73118-3820-4de5-b681-bf673bff18f8,a05054eb-23a4-41ea-aaa7-6267f876cac5,Ailish Expense,family,MVR,true,2026-02-27 16:16:08.127406+00,2026-02-27 16:16:08.127406+00
70914bac-b669-4a4e-91f6-d5b928b054ee,a05054eb-23a4-41ea-aaa7-6267f876cac5,Ayaan Expense,family,MVR,true,2026-02-27 16:15:58.080659+00,2026-02-27 16:15:58.080659+00
7bd8c236-a517-4e11-b02e-ff655d6aac58,a05054eb-23a4-41ea-aaa7-6267f876cac5,Azan Expense,family,MVR,true,2026-02-27 16:15:47.912756+00,2026-02-27 16:15:47.912756+00
a248acba-1834-4562-b857-c83709ced4a4,e51c0357-0b88-410c-9af3-89a0183d42e9,Personal,personal,MVR,true,2026-02-27 16:38:48.170034+00,2026-02-27 16:38:48.170034+00
db645f92-01b3-4f6f-a157-8ecaab9669a2,a05054eb-23a4-41ea-aaa7-6267f876cac5,Aizan Expense,family,MVR,true,2026-02-27 16:16:18.347371+00,2026-02-27 16:16:18.347371+00
